"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode"
"Q7P0Z","221","fall17","lab-synch","Male",19,"English","Second","US","NULL","NULL","NULL","NULL","NULL","NULL",7.58286666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"F66QO","311","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.1928833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"HP71D","221","fall17","lab-synch","Female",20,"English","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",13.6627,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"G5XSH","311","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",7.76871666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"K6ZDW","321","fall17","lab-synch","Male",18,"Spanish","First","U.S.A","NULL","NULL","NULL","NULL","NULL","NULL",17.9982666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"0W2TN","221","fall17","lab-synch","Female",18,"English","Second","america","NULL","NULL","NULL","NULL","NULL","NULL",8.9594,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"T432U","311","fall17","lab-synch","Male",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.7028,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"RYVXA","221","fall17","lab-synch","Male",23,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.6881166666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"NL1H0","311","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.0224166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"TCJQ2","211","fall17","lab-synch","Female",21,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.1243166666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"J39G9","311","fall17","lab-synch","Male",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.5263666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"LFDYR","221","fall17","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.84635,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"3ZLSF","211","fall17","lab-synch","Male",20,"Mandarin or Cantonese","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.81146666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"KAK9U","321","fall17","lab-synch","Male",18,"Other","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",12.7553333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"RVFBM","321","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.6824666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"KPQ3L","321","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.3084,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"SAAFX","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.2311666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"O577M","211","fall17","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.8654,"NULL","NULL","NULL","NULL","img-control","laboratory"
"DF15K","211","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.1388333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"EPAUX","221","fall17","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.0941,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"VA4GG","211","fall17","lab-synch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",7.43658333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"VLTVY","321","fall17","lab-synch","Female",19,"Mandarin or Cantonese","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.91215,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"SZH6M","321","fall17","lab-synch","Male",23,"English","Fifth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",16.6522166666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"JO9RJ","211","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",7.4491,"NULL","NULL","NULL","NULL","img-control","laboratory"
"WXWJ0","311","fall17","lab-synch","Female",18,"English","First","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.2383833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"AZ6AR","321","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.48273333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"W857O","211","fall17","lab-synch","Male",26,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.6157666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"2VK07","211","fall17","lab-synch","Male",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",9.07636666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"G7CFM","321","fall17","lab-synch","Female",22,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4715166666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"8DU2W","221","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.6760166666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"YF1HS","321","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.63911666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"4GSTQ","111","fall17","lab-synch","Male",22,"English","Fifth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.4211833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"WJ5M4","311","fall17","lab-synch","Female",21,"Other","Fourth","Italy","NULL","NULL","NULL","NULL","NULL","NULL",14.0578833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"VT3ZX","121","fall17","lab-synch","Female",19,"Other","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9358833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"HKSU4","121","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.67103333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"3W8J9","211","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.4572,"NULL","NULL","NULL","NULL","img-control","laboratory"
"XY7JT","311","fall17","lab-synch","Male",20,"English","Third","Malaysia","NULL","NULL","NULL","NULL","NULL","NULL",10.0755833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"FGMSN","121","fall17","lab-synch","Female",33,"English","Fourth","U.A.E","NULL","NULL","NULL","NULL","NULL","NULL",11.8982666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"YA9CN","211","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.79631666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"P1BZ9","211","fall17","lab-synch","Female",19,"English","Second","u.s.\n","NULL","NULL","NULL","NULL","NULL","NULL",10.7592833333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"74C5E","221","fall17","lab-synch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.3564,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"RM2SM","321","fall17","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.6697833333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"E4JSN","211","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.4636,"NULL","NULL","NULL","NULL","img-control","laboratory"
"VUHEV","221","fall17","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.3996,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"5EWM2","121","fall17","lab-synch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.83036666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"ZZYXF","121","fall17","lab-synch","Female",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",14.6299666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"NSPM3","321","fall17","lab-synch","Male",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.6606833333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"OMHWY","221","fall17","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2444166666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"2BBZ9","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,"NULL","NULL","NULL","NULL","none-control","laboratory"
"V8DLR","211","fall17","lab-synch","Female",20,"English","Third","united states","NULL","NULL","NULL","NULL","NULL","NULL",12.2667833333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"W2WL2","311","fall17","lab-synch","Female",25,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.7149,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"N2UK6","111","fall17","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9894333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"EN7PB","111","fall17","lab-synch","Male",19,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8360833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"GF1FQ","121","fall17","lab-synch","Male",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",18.8526166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"6CR5M","311","fall17","lab-synch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",8.16255,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"3OTEP","121","fall17","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.8743833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"XQZYP","111","fall17","lab-synch","Male",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.5166833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"7TRHG","211","fall17","lab-synch","Female",22,"Mandarin or Cantonese","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.43485,"NULL","NULL","NULL","NULL","img-control","laboratory"
"7K5C9","211","fall17","lab-synch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.7166333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"3B1TL","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.5042666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"3QO3J","111","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.87085,"NULL","NULL","NULL","NULL","none-control","laboratory"
"EC0K7","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.534,"NULL","NULL","NULL","NULL","none-control","laboratory"
"FUV6R","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.1109,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"QB8G8","121","fall17","lab-synch","Female",19,"Mandarin or Cantonese","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0823833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"UKWDH","311","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.76458333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"9PGJL","311","fall17","lab-synch","Female",18,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.8968166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"5LHA4","211","fall17","lab-synch","Female",20,"English","Third","America","NULL","NULL","NULL","NULL","NULL","NULL",12.5497666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"61C10","211","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.82578333333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"0ZCT1","121","fall17","lab-synch","Male",19,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3987166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"BPUXY","321","fall17","lab-synch","Female",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.18548333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"6G1ZR","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.32168333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"AHBMC","321","fall17","lab-synch","Male",19,"English","Second","North America","NULL","NULL","NULL","NULL","NULL","NULL",10.1465666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"WDOR4","221","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4122666666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"QX48K","321","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.2877833333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"KLYG7","111","fall17","lab-synch","Male",18,"English","Second","Vietnam","NULL","NULL","NULL","NULL","NULL","NULL",16.7382333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"9GVF0","211","fall17","lab-synch","Male",18,"Spanish","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.5498166666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"1THJX","121","fall17","lab-synch","Male",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.3307,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"PO9J4","121","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",10.8384833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"YGEAY","111","fall17","lab-synch","Female",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",15.0729,"NULL","NULL","NULL","NULL","none-control","laboratory"
"FTCQC","211","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.0650833333333,"NULL","NULL","NULL","NULL","img-control","laboratory"
"R0GKA","121","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.96066666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"UTZ96","311","fall17","lab-synch","Female",21,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.1234,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"G0CPA","111","fall17","lab-synch","Male",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.21901666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"1FO1D","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",18.50985,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"ASEGP","121","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.0948333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"6S0HV","311","fall17","lab-synch","Female",20,"Other","Third","China","NULL","NULL","NULL","NULL","NULL","NULL",13.0381666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"FD7Z1","321","fall17","lab-synch","Male",20,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",9.23151666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"Y53PP","321","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6972333333333,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"OTVZR","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.8778,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"33WRC","321","fall17","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.50425,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"4K1DG","211","fall17","lab-synch","Male",24,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.4701666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"SRVE3","221","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.3733,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"F49JC","121","fall17","lab-synch","Male",18,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",13.0758333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"2JRT6","111","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"ZSBDA","221","fall17","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.1285,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"C1LJW","311","fall17","lab-synch","Female",20,"English","Third","united states","NULL","NULL","NULL","NULL","NULL","NULL",10.5662333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"7L4J4","111","fall17","lab-synch","Female",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.78185,"NULL","NULL","NULL","NULL","none-control","laboratory"
"7Q7KP","311","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.55506666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"LSRUK","311","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",7.97713333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"M675E","121","fall17","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.05926666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"7EAJ1","221","fall17","lab-synch","Female",21,"English","Fourth","United States\n","NULL","NULL","NULL","NULL","NULL","NULL",10.9987166666667,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"WDUSF","211","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.25511666666667,"NULL","NULL","NULL","NULL","img-control","laboratory"
"QSGCP","111","fall17","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.86058333333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"L0M3H","121","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.94343333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"DC2Y0","121","fall17","lab-synch","Male",22,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.4990833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory"
"X0PRP","111","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.5652666666667,"NULL","NULL","NULL","NULL","none-control","laboratory"
"8V51R","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.26815,"NULL","NULL","NULL","NULL","none-control","laboratory"
"0NZH6","221","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.82045,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"6NY13","311","fall17","lab-synch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",7.87638333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory"
"B3OKB","111","fall17","lab-synch","Male",19,"English","First","India","NULL","NULL","NULL","NULL","NULL","NULL",13.4522833333333,"NULL","NULL","NULL","NULL","none-control","laboratory"
"GNFRF","221","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.0189333333333,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
"BCFGX","321","fall17","lab-synch","Male",21,"English","Fourth","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",12.78925,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory"
"987KZ","221","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.20875,"NULL","NULL","NULL","NULL","img-impasse","laboratory"
